subj,task,run,abs_mean,rel_mean,pct_removed
153126,WM,LR,0.367375,0.130019,0.623188
153126,WM,RL,0.515468,0.136750,0.507937
153631,WM,LR,0.150617,0.044831,0.362500
153631,WM,RL,0.152403,0.044467,0.420290
154734,WM,LR,0.676318,0.058922,0.405063
154734,WM,RL,0.475720,0.059362,0.320000
155635,WM,LR,0.359199,0.096628,0.382353
155635,WM,RL,1.020130,0.116817,0.376623
156637,WM,LR,0.613549,0.163859,0.418367
156637,WM,RL,0.698170,0.131096,0.611111
157437,WM,LR,4.329460,0.100833,0.594340
157437,WM,RL,0.784194,0.094463,0.517857
158035,WM,LR,0.213378,0.066662,0.462687
158035,WM,RL,0.261570,0.071511,0.626374
159744,WM,LR,0.235132,0.057225,0.593750
159744,WM,RL,0.544048,0.068414,0.508197
162228,WM,LR,0.165736,0.059606,0.371429
162228,WM,RL,0.245623,0.065612,0.457143
162733,WM,LR,0.449192,0.116847,0.196262
162733,WM,RL,0.428189,0.135092,0.185567
164939,WM,LR,1.058860,0.098430,0.288136
164939,WM,RL,2.060940,0.118379,0.481481
165941,WM,LR,0.464196,0.169869,0.527273
165941,WM,RL,0.941305,0.121042,0.473684
166640,WM,LR,0.904300,0.112197,0.360465
166640,WM,RL,0.671844,0.137850,0.670588
168139,WM,LR,0.389080,0.094230,0.382716
168139,WM,RL,0.313212,0.093903,0.415385
169545,WM,LR,0.465026,0.059192,0.301075
169545,WM,RL,0.263470,0.069478,0.531646
173233,WM,LR,0.432349,0.048913,0.303030
173233,WM,RL,0.515510,0.048297,0.386667
173435,WM,LR,0.216911,0.049036,0.376812
173435,WM,RL,0.260816,0.056284,0.417722
173536,WM,LR,0.287152,0.058939,0.492063
173536,WM,RL,0.748093,0.072275,0.390805
173839,WM,LR,0.244466,0.088747,0.400000
173839,WM,RL,0.762060,0.070558,0.470588
173940,WM,LR,0.273990,0.055884,0.384615
173940,WM,RL,1.089400,0.072499,0.352113
174437,WM,LR,0.291742,0.057155,0.262295
174437,WM,RL,0.454730,0.059298,0.350000
175136,WM,LR,0.203262,0.097947,0.360656
175136,WM,RL,0.472967,0.072074,0.492308
175338,WM,LR,0.218659,0.055969,0.288288
175338,WM,RL,0.581019,0.065510,0.272727
175742,WM,LR,1.134370,0.070817,0.430556
175742,WM,RL,1.073300,0.067156,0.423077
176441,WM,LR,0.552053,0.073267,0.593750
176441,WM,RL,0.595591,0.064619,0.513158
176845,WM,LR,0.633459,0.104047,0.416667
176845,WM,RL,0.615018,0.107290,0.383562
178748,WM,LR,1.055280,0.072459,0.692308
